"Código","Clave","Descripción","DUN-14 Inner","DUN-14 Master"
"44252","AB-88","Bolsa con 5 abrazaderas reforzadas # 88, 5-1/8 - 6', Fiero",17501206694142,27501206694149
"44253","AB-96","Bolsa con 5 abrazaderas reforzadas # 96, 5-9/16 - 6-1/2'",17501206694159,27501206694156
"10434","AB-GT-26","Abrazadera para mango de madera para guadaña, Truper",17506240616389,27506240616386
"11151","AB-GT-26M","Abrazadera para mango de acero para guadaña, Truper",17506240655050,27506240655057
"27208","AB-LIOR-1/3P3","Adaptador de bolsa para polvo para LIOR-1/3P3, Pretul",17506240690648,27506240690645
"46587","ABA-700L","Luminario de LED 65 W, aluminio con 3 paneles abatibles",17506240699412,27506240699419
"46588","ABA-701L","Luminario de LED 100 W, aluminio con 4 paneles abatibles",17506240699429,27506240699426
"47934","ABP-10H","Dosificador de ABS para jabón líquido, humo, Foset",17506240697647,27506240697644
"47931","ABP-10X","Dosificador de acero inox. para jabón líquido, Foset",17506240697616,27506240697613
"47935","ABP-20H","Portarollo de ABS, humo, Foset",17506240697654,27506240697651
"47932","ABP-20X","Portarollo de acero inox, Foset",17506240697623,27506240697620
"47936","ABP-30H","Dispensador de ABS para toallas de papel, humo, Foset",17506240697661,27506240697668
"47933","ABP-30X","Dispensador de acero inox. para toallas de papel, Foset",17506240697630,27506240697637
"11545","ABT-222","Disco Tipo 27 de 7' x 6.4 mm desbaste de metal, Expert",17501206674175,27501206674172
"11547","ABT-223","Disco Tipo 27 de 9' x 6.4 mm desbaste de metal, Expert",17501206674168,27501206674165
"101454","ABT-335","Disco para corte de metal 4-1/2' tipo 41, Truper Expert",17506240684661,27506240684668
"10668","ABT-372","Disco Tipo 27 de 4-1/2' x 6.5 mm desbaste acero inoxidable",17506240621406,27506240621403
"11548","ABT-386","Disco Tipo 27 de 4-1/2' x 6.4 mm desbaste de metal, Expert",17501206674182,27501206674189
"10669","ABT-389","Disco Tipo 27 de 7' x 7.2 mm desbaste de acero inoxidable",17506240621413,27506240621410
"11549","ABT-390","Disco Tipo 42 de 4-1/2' x 3.2 mm corte metal, Truper Expert",17501206674113,27501206674110
"11566","ABT-418","Disco Tipo 42 de 7' x 3.2 mm para corte de piedra, Truper",17501206674076,27501206674073
"11557","ABT-419","Disco Tipo 42 de 9' x 3.2 mm para corte de piedra, Truper",17501206674069,27501206674066
"11561","ABT-496","Disco para corte de metal, tipo 41, diámetro 7' Expert",17501206674021,27501206674028
"10662","ABT-500","Disco para corte de metal, tipo 41, diámetro 9' Expert",17506240621468,27506240621465
"12569","ABT-556","Disco Tipo 42 de 4-1/2' x 3.2 mm para corte de metal, Truper",17501206622244,27501206622241
"29955","ABT-560","Disco Tipo 27 de 4-1/2' x 6.2 mm desbaste de metal, Pretul",17506240679384,27506240679381
"29956","ABT-561","Disco Tipo 27 de 7' x 6.2 mm desbaste de metal, Pretul",17506240679391,27506240679398
"29957","ABT-562","Disco Tipo 27 de 9' x 6.2 mm desbaste de metal, Pretul",17506240679407,27506240679404
"12568","ABT-739","Disco Tipo 41 de 14' x 2.8 mm para corte de metal, Truper",17501206622237,27501206622234
"11567","ABT-742","Disco Tipo 41 de 14' x 3 mm para corte de metal, Expert",17501206674045,27501206674042
"11555","ABT-754","Disco Tipo 42 de 4-1/2' x 3.2 mm para corte de piedra",17501206674083,27501206674080
"22561","ABT-758P","Disco Tipo 41 de 14' x 2.8 mm para corte de metal, Pretul",17506240623882,27506240623889
"12565","ABT-774","Disco Tipo 27 de 4-1/2' x 6.4 mm para desbaste de metal",17501206622213,27501206622210
"10667","ABT-779","Disco Tipo 27 de 9' x 6.4 mm para desbaste de metal, Truper",17506240620478,27506240620475
"11565","ABT-780","Disco Tipo 42 de 7' x 3.2 mm corte metal, Truper Expert",17501206674106,27501206674103
"11554","ABT-782","Disco Tipo 42 de 9' x 3.2 mm corte metal, Truper Expert",17501206674090,27501206674097
"10666","ABT-783","Disco Tipo 42 de 7' x 3.2 mm para corte de metal, Truper",17506240620539,27506240620536
"12564","ABT-784","Disco Tipo 42 de 9' x 3.2 mm para corte de metal, Truper",17501206622206,27501206622203
"10664","ABT-786","Disco de 4-1/2' para corte de metal, tipo 41, Truper",17506240621437,27506240621434
"10665","ABT-787","Disco de 7' para corte de metal, tipo 41, Truper",17506240621444,27506240621441
"12572","ABT-791","Disco de 9' para corte de metal, tipo 41, Truper",17506240621451,27506240621458
"12567","ABT-999","Disco Tipo 27 de 7' x 6.4 mm para desbaste de metal, Truper",17501206622220,27501206622227
"14318","AC-PF","Adaptador de protector facial para casco, Truper",17506240647338,27506240647335
"19511","AC-PIPI-200","Accesorios (llave, cepillo, tuerca y espiga) p/PIPI-26 y 27",17506240664434,27506240664431
"20000","ACA-6","Arco 6' calador para segueta, Pretul",17501206640095,27501206640092
"10221","ACA-6X","Arco calador 6' para segueta, Truper",17501206671464,27501206671461
"10359","ACE-20","Azadón Centroamericano 2.0 lb sin mango, Truper",17506240615917,27506240615914
"10361","ACE-25","Azadón Centroamericano 2.4 lb sin mango, Truper",17506240615924,27506240615921
"10362","ACE-30","Azadón Centroamericano 2.8 lb sin mango, Truper",17506240615931,27506240615938
"10364","ACE-35","Azadón Centroamericano 4.0 lb sin mango, Truper",17506240615948,27506240615945
"14870","ACEF-180","Aceitera de 180 ml (6 oz) con aplicador flexible, Truper",17501206684143,27501206684140
"14872","ACEF-300","Aceitera de 300 ml (10 oz) con aplicador flexible, Truper",17501206684167,27501206684164
"14874","ACEF-500","Aceitera de 500 ml (17 oz) con aplicador flexible, Truper",17501206684181,27501206684188
"102533","ACEM-32","Aceite mineral para compresor, 946ml (32oz), Truper",17502309733073,27502309733070
"14991","ACES-2","Aceite sintético para motor de 2 tiempos, 60 ml",17506240635168,27506240635165
"17625","ACES-20","Aceite sintético para motor de 2 tiempos, 400 ml",17501206685492,27501206685499
"17624","ACES-5","Aceite sintético para motor de 2 tiempos, 100 ml",17501206685508,27501206685505
"11530","ACO-2","Azadón Córdoba # 2 sin mango, Truper",17506240666544,27506240666541
"11605","ACO-2M","Azadón Córdoba # 2 con mango de 54'",17506240666568,27506240666565
"11531","ACO-3","Azadón Córdoba # 3 sin mango, Truper",17506240666551,27506240666558
"11631","ACO-3M","Azadón Córdoba # 3 con mango de 54'",17506240666575,27506240666572
"44443","ACO-BOLA-20","Acoplador para BOLA-20, Truper",17501206689698,27501206689695
"44442","ACO-BOLA-35","Acoplador para BOLA-35, Truper",17501206689681,27501206689688
"14928","ACT-4T-16","Aceite semi-sintético, motor 4 tiempos, 470ml (16oz), Truper",17506240647086,27506240647083
"14929","ACT-4T-32","Aceite semi-sintético, motor 4 tiempos, 946ml (32oz), Truper",17506240647093,27506240647090
"15127","ACT-HOE","Deshierbador con mango de madera 54', Truper",17501206619046,27501206619043
"10372","AD-2","Conector 'Y' 3/4' metálico para manguera, Truper",17501206655402,27501206655409
"46250","AD-270","Adaptador con supresor de picos 270 joules, Volteck",17501206657505,27501206657502
"20050","AD-2P","Conector 'Y' 3/4' plástico para manguera, Pretul",17501206655419,27501206655416
"102248","AD-2R","Conector 'Y' 3/4' metálico con recubrimiento para manguera",17506240697609,27506240697606
"10375","AD-2X","Conector 'Y' 3/4' latón sólido con tuerca móvil p/manguera",17501206655426,27501206655423
"46252","AD-32B","Bolsa con 2 adaptadores 3 a 2 blancos, Volteck",17501206657468,27501206657465
"46255","AD-32B-G","Adaptador 3 a 2, blanco, a granel, Volteck",17506240642852,27506240642859
"46254","AD-32G","Bolsa con 2 adaptadores 3 a 2 grises, Volteck",17501206657482,27501206657489
"46257","AD-32G-G","Adaptador 3 a 2, gris, a granel, Volteck",17506240642876,27506240642873
"46253","AD-32N","Bolsa con 2 adaptadores 3 a 2 naranjas, Volteck",17501206657475,27501206657472
"46256","AD-32N-G","Adaptador 3 a 2, naranja, a granel, Volteck",17506240642869,27506240642866
"14645","AD-CU-P","Adaptador de cuchillas de repuesto, Truper",17506240605628,27506240605625
"20593","AD-CU-P-316","Adaptador de cuchillas para P-316P, Pretul",17506240648090,27506240648097
"46246","AD-PR","Adaptador barra plana a redonda, Volteck",17506240635113,27506240635110
"46245","AD-RP","Adaptador barra redonda a plana, Volteck",17506240635106,27506240635103
"10752","ADA-3","Juego de 3 adaptadores para dados de 1/4', 3/8' y 1/2'",17506240658082,27506240658089
"19599","ADA-3L","Juego de 3 adaptadores largos para dados de 1/4, 3/8 y 1/2'",17506240658341,27506240658348
"13212","ADA-SOLT","Juego 2 conectores de cambio rápido para soldadora, Truper",17506240672682,27506240672689
"14654","ADAP-PLUS","Adaptador para rotomartillos, SDS PLUS, Truper",17506240619281,27506240619288
"10540","ADC-5/8","Adaptador para discos abrasivos 7' a 9', tipo 41, eje 5/8-11",17501206653002,27501206653009
"10541","ADC-M14","Adaptador para discos abrasivos 7' a 9', tipo 41, eje M14",17501206653019,27501206653016
"10544","ADC-MINI","Adaptador para discos abrasivos 4' y 4-1/2', tipo 42, 5/8-11",17501206653026,27501206653023
"49825","ADJ-1/2L","Adaptador de latón 1/2' para manguera, Foset",17502309732953,27502309732950
"49826","ADJ-1/2Z","Adaptador metálico 1/2' para manguera, Foset",17502309732960,27502309732967
"102281","ADM-140","Adhesivo de montaje Adiós clavos, 140 g, Truper",17506240697814,27506240697811
"102280","ADM-420","Adhesivo de montaje Adiós clavos, 420 g, Truper",17506240697807,27506240697804
"49644","ADPO-1/2C","Cople inserción de latón 1/2' para poliducto negro, Foset",17506240683718,27506240683715
"49311","ADPO-1/2H","Adaptador hembra de latón 1/2' para poliducto, Foset",17506240603969,27506240603966
"49305","ADPO-1/2M","Adaptador macho de latón 1/2' para poliducto, Foset",17506240603938,27506240603935
"49641","ADPO-1/2T","Tee inserción macho latón 1/2' para poliducto negro, Foset",17506240683688,27506240683685
"49646","ADPO-1C","Cople inserción de latón 1' para poliducto negro, Foset",17506240683732,27506240683739
"49313","ADPO-1H","Adaptador hembra de latón 1' para poliducto, Foset",17506240603983,27506240603980
"49307","ADPO-1M","Adaptador macho de latón 1' para poliducto, Foset",17506240603952,27506240603959
"49643","ADPO-1T","Tee inserción macho latón 1' para poliducto negro, Foset",17506240683701,27506240683708
"49645","ADPO-3/4C","Cople inserción de latón 3/4' para poliducto negro, Foset",17506240683725,27506240683722
"49312","ADPO-3/4H","Adaptador hembra de latón 3/4' para poliducto, Foset",17506240603976,27506240603973
"49306","ADPO-3/4M","Adaptador macho de latón 3/4' para poliducto, Foset",17506240603945,27506240603942
"49642","ADPO-3/4T","Tee inserción macho latón 3/4' para poliducto negro, Foset",17506240683695,27506240683692
"10542","ADT27-5/8","Adaptador para discos abrasivos 7' a 9', tipo 42, eje 5/8-11",17501206653040,27501206653047
"10543","ADT27-M14","Adaptador para discos abrasivos 7' a 9', tipo 42, eje M14",17501206653057,27501206653054
"49631","AEA-70","Sistema para montaje de accesorios para baño, Foset Aero",17506240617638,27506240617635
"49640","AEA-7000","Juego de 6 accesorios para baño metálicos, Foset Aero",17506240617720,27506240617727
