key,code,ean,DUN-14 Inner,DUN-14 Master,unit,description,brand,buy,retailsale,wholesale,inventory,min_inventory,department
AB-6,44233,7501206693957,17501206693954,27501206693951,Bolsa,"Bolsa con 10 abrazaderas reforzadas # 6, 1/2 - 3/4', Fiero",Fiero,59,92,76,10,1,Abrazaderas
AB-60,44248,7501206694107,17501206694104,27501206694101,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 60, 3-5/16 - 4-1/4'",Fiero,75,117,97,10,1,Abrazaderas
AB-64,44249,7501206694114,17501206694111,27501206694118,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 64, 3-9/16 - 3-1/2'",Fiero,75,117,97,10,1,Abrazaderas
AB-7,44257,7506240645474,17506240645471,27506240645478,Bolsa,"Bolsa con 10 abrazaderas reforzadas #7, 9/16 - 1-1/16'",Fiero,65,102,84,10,1,Abrazaderas
AB-72,44250,7501206694121,17501206694128,27501206694125,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 72, 4-1/8 - 5', Fiero",Fiero,75,117,97,10,1,Abrazaderas
AB-8,44234,7501206693964,17501206693961,27501206693968,Bolsa,"Bolsa con 10 abrazaderas reforzadas # 8, 5/8 - 7/8', Fiero",Fiero,65,102,84,10,1,Abrazaderas
AB-80,44251,7501206694138,17501206694135,27501206694132,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 80, 4-5/8 - 5-1/2'",Fiero,83,129,107,10,1,Abrazaderas
AB-88,44252,7501206694145,17501206694142,27501206694149,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 88, 5-1/8 - 6', Fiero",Fiero,83,129,107,10,1,Abrazaderas
AB-96,44253,7501206694152,17501206694159,27501206694156,Bolsa,"Bolsa con 5 abrazaderas reforzadas # 96, 5-9/16 - 6-1/2'",Fiero,95,149,125,10,1,Abrazaderas
AB-GT-26,10434,7506240616382,17506240616389,27506240616386,Juego,"Abrazadera para mango de madera para guadaña, Truper",Truper,85,135,109,10,1,Mangos de repuesto
AB-GT-26M,11151,7506240655053,17506240655050,27506240655057,Pieza,"Abrazadera para mango de acero para guadaña, Truper",Truper,85,135,109,10,1,Mangos de repuesto
AB-LIOR-1/3P3,27208,7506240690641,17506240690648,27506240690645,Pieza,"Adaptador de bolsa para polvo para LIOR-1/3P3, Pretul",Pretul,35,59,49,10,1,Refacciones para máquinas
ABA-700L,46587,7506240699415,17506240699412,27506240699419,Pieza,"Luminario de LED 65 W, aluminio con 3 paneles abatibles",Volteck,365,529,439,10,1,Luminarios LED
ABA-701L,46588,7506240699422,17506240699429,27506240699426,Pieza,"Luminario de LED 100 W, aluminio con 4 paneles abatibles",Volteck,465,675,559,10,1,Luminarios LED
